match_id,victoires_dom_5,nuls_dom_5,defaites_dom_5,victoires_ext_5,nuls_ext_5,defaites_ext_5,buts_marques_dom_moy,buts_encaisses_dom_moy,buts_marques_ext_moy,buts_encaisses_ext_moy,h2h_dom_wins,h2h_nuls,h2h_ext_wins,resultat
164,0,3,2,1,2,2,0.79,1.14,1.07,1.21,0,0,0,1
165,3,1,1,2,1,2,1.86,0.71,1.21,1.64,0,2,0,2
166,2,2,1,0,2,3,1.14,0.93,1.14,1.36,0,2,0,1
167,1,1,3,1,1,3,1.43,1.07,0.93,1.07,0,0,0,1
168,2,2,1,3,2,0,1.43,1,1.36,0.79,0,0,0,0
169,3,0,2,3,1,1,1.07,1.5,0.93,1.71,0,0,0,1
170,2,1,2,2,3,0,1.14,1.64,1.29,0.57,0,0,0,1
171,3,2,0,0,1,4,1.2,1.2,1.2,1.2,1,0,0,2
172,3,1,1,1,3,1,1.2,1.2,1.2,1.2,1,0,0,2
173,2,3,0,0,3,2,1.2,1.2,1.2,1.2,0,3,0,2
174,0,2,3,1,2,2,1.2,1.2,1.2,1.2,0,1,0,0
175,2,1,2,0,0,0,1.2,1.2,1.2,1.2,0,0,0,0
176,2,1,2,2,1,2,1.2,1.2,1.2,1.2,1,1,0,1
177,1,2,2,3,2,0,1.2,1.2,1.2,1.2,0,0,1,2
178,1,4,0,2,2,1,1.2,1.2,1.2,1.2,1,0,0,1
179,4,0,1,3,2,0,1,0,2,0,1,0,1,0
180,0,1,4,2,3,0,0,2,2,1,0,1,0,0
181,1,2,2,0,2,3,0,1,1,2,0,0,1,0
182,0,3,2,2,0,3,1,2,0,3,0,1,2,1
183,2,2,1,1,2,2,2,1,2,2,1,0,0,0
184,1,0,0,1,2,2,3,0,3,1,0,0,0,1
185,1,2,2,1,4,0,2,2,1,1,0,0,0,2
186,2,2,1,2,2,1,1,3,1,1,1,0,0,1
187,4,1,0,2,3,0,2.5,0,2,1,1,1,0,0
188,1,2,2,3,0,2,1,1,0.5,1.5,1,0,2,2
189,1,1,3,0,1,4,0.5,2,0.5,2,0,1,0,2
190,2,2,1,1,2,2,2.5,1,0,1,1,0,0,2
191,1,3,1,0,3,2,2.5,1.5,1,1.5,0,0,1,1
192,1,3,1,2,2,1,1,1.5,1,2,0,0,1,2
193,1,3,1,1,1,0,0.5,0.5,2.5,1,0,0,0,2
194,1,3,1,1,2,2,0.5,1.5,2,1.5,0,0,0,2
199,0,2,3,2,2,1,0.33,1.67,1,1,0,1,0,1
195,2,1,2,3,1,1,1.33,1,1.67,0.33,2,0,0,1
196,3,2,0,1,1,3,1.67,0.67,1.33,1.67,2,0,1,1
197,2,0,3,3,2,0,0.67,1.67,2.67,1,2,0,1,2
198,0,0,5,1,3,1,0.67,2.33,2.33,1.67,0,0,1,1
200,0,4,1,2,3,0,1.33,1.67,1,0.33,0,1,0,2
201,2,1,2,2,2,1,0.67,1.67,1,1,0,0,1,1
202,1,1,1,1,1,3,1.67,1.33,1.33,1.67,0,0,0,2
209,1,1,3,1,3,1,1,1.5,1.5,1.5,0,0,0,0
208,2,2,1,0,2,3,1.25,1.25,0.75,1.75,1,0,0,1
207,1,3,1,0,1,4,1,0.75,1,2.25,1,0,0,2
204,2,2,1,2,2,1,2.25,1.5,1.25,1,1,1,1,1
206,1,3,1,3,0,2,1.25,1.25,1.25,1.5,1,0,0,0
203,3,1,1,1,2,2,1.5,0.5,1,1.25,1,1,0,2
205,1,4,0,3,2,0,2.25,1.75,1.25,0.5,0,1,0,2
210,2,1,1,1,2,2,1.5,1,1,1.75,0,0,0,0
211,2,2,1,3,1,1,2.2,1.6,1.4,0.4,1,0,1,1
212,1,2,2,2,3,0,0.8,1.2,2,1.4,1,0,0,2
213,2,2,1,1,2,2,1.4,1.2,1.2,1.6,0,0,1,2
214,3,1,1,2,2,1,1,0.6,1.4,0.8,1,0,0,1
215,3,0,2,1,3,1,1.6,1.4,1.2,1.2,1,0,0,1
216,0,1,4,1,1,3,1,2.4,1,1.6,0,0,0,1
217,0,2,3,2,1,2,0.8,1.6,1.2,1.2,0,0,0,1
218,2,2,1,2,1,2,1.6,1.4,1.2,1.4,1,0,0,2
219,2,2,1,1,3,1,1.33,0.5,1.83,1.5,0,0,1,2
220,1,1,3,2,2,1,1.17,1.67,2,1.5,0,1,0,1
221,2,2,1,2,2,1,1.33,0.83,1,1.17,0,0,1,1
222,1,4,0,3,2,0,1.17,1.17,1.5,1.17,0,0,1,2
223,1,1,3,2,2,1,0.83,1.33,1,0.67,0,0,0,0
224,1,2,2,2,1,2,1,1,1.5,1.33,0,0,0,0
225,1,1,3,0,2,3,1,1.33,0.83,2,0,1,0,1
226,3,2,0,0,3,2,1.5,1.17,0.67,1.33,0,1,2,2
227,1,2,2,2,2,1,1.14,1.57,1.29,0.43,1,0,0,0
228,1,2,2,2,2,1,1.57,1.43,1.29,0.86,1,0,0,0
229,1,3,1,2,3,0,1.86,1.43,1.43,1.14,1,0,0,1
230,2,2,1,0,1,4,1,1.14,0.86,1.43,0,0,0,2
231,2,2,1,1,1,3,1.43,1.43,0.86,1.14,0,0,0,1
232,2,2,1,1,2,2,1.14,0.71,1,1.29,0,1,0,2
233,3,1,1,4,1,0,1.57,1.14,1.57,1,1,0,0,2
